Frase,Categoria
Quando o corpo e as coisas estão em repouso é que o Senhor opera. A consciência é a presença de Deus. ,Frases de Deus
A boca fala do que está cheio o coração. (Jesus Cristo) ,Frases de Deus
"Com o critério com que julgardes, sereis julgados e, com a medida com que tiverdes medido, vos medirão também. (Jesus Cristo) ",Frases de Deus
O criador não dá a você o desejo de fazer o que você não têm capacidade para fazer. ,Frases de Deus
"Minhas imperfeições e fracassos são como uma bênção de Deus, assim como meus sucessos e meus talentos, e eu coloco ambos a seus pés. ",Frases de Deus
"Eu segurei muitas coisas em minhas mãos, e eu perdi tudo; mas tudo que que eu coloquei nas mãos de Deus eu ainda possuo. ",Frases de Deus
"Deus reside em todos os homens, mas nem todos os homens estão Nele. Por isso eles sofrem. ",Frases de Deus
"Se tem uma pessoa que você odeia, ore por ela. ",Frases de Deus
Achar que o mundo não tem um criador é o mesmo que afirmar que um dicionário é o resultado de uma explosão numa tipografia. ,Frases de Deus
"O fácil se faz logo, o difícil demora um pouco, o impossível entrega nas mãos de Deus, porque para Ele tudo é possível. (Marcos Feliciano da Silva) ",Frases de Deus
Deus não lhe dá mais do que você pode carregar. ,Frases de Deus
"A fé em Deus nos faz crer no incrível, ver o invisível e realizar o impossível. ",Frases de Deus
Uma razão para que Deus tenha criado o tempo é para que houvesse um lugar para enterrar os fracassos do passado. ,Frases de Deus
"Senhor, minha preocupação não é se Deus está ao nosso lado; minha maior preocupação é estar ao lado de Deus, porque Deus é sempre certo. (Abraham Lincoln) ",Frases de Deus
"Senhor dá-me serenidade para aceitar tudo aquilo que não pode e não deve ser mudado. Dá-me força para mudar tudo o que pode e deve ser mudado. Mas, acima de tudo, dá-me sabedoria para distinguir uma coisa da outra. ",Frases de Deus
"Tudo é como é, e é perfeito. Se não é perfeito aos nossos olhos, é perfeito aos olhos de Deus. ",Frases de Deus
Não preciso de provas quando a verdade vem de Deus. ,Frases de Deus
"Qualquer um pode contar as sementes em uma maçã, mas só Deus pode contar o número de maçãs em uma semente. (Robert H. Schuller) ",Frases de Deus
O que nós somos é o presente de Deus a nós. O que nós nos tornamos é nosso presente a Deus. (Eleanor Powell) ,Frases de Deus
" Eu sou o caminho, e a verdade e a vida: ninguém vem ao Pai, senão por mim. (João, 14:6) ",Frases Bíblicas
"Deus amou de tal modo a humanidade que lhe entregou o seu Filho único, para que todo aquele que acreditar no Filho de Deus não se perca, mas tenha a vida eterna. (João 3:16) ",Frases Bíblicas
O Senhor dá força ao seu povo: o Senhor abençoa com paz ao seu povo. (Salmos 29:11) ,Frases Bíblicas
"O Deus eterno é a tua habitação e, por baixo de ti, estende os braços eternos: ele expulsou o inimigo de diante de ti e disse: Destrói-o. (Deuteronômio 33:27) ",Frases Bíblicas
"Assim pereçam todos os teus inimigos, ó Senhor! Mas os que te amam sejam como o sol quando se levanta na sua força"". E a terra teve paz durante quarenta anos.. (Juízes 5:31) ",Frases Bíblicas
Ireis às fontes da salvação buscar a água com alegria. (Isaías 12:3) ,Frases Bíblicas
"Pois vocês são salvos pela graça, por meio da fé, e isto não vem de vocês, é dom de Deus. (Efésios 2:8) ",Frases Bíblicas
"Espera pelo Senhor, tem bom ânimo, e fortifique-se o teu coração: espera, pois, pelo Senhor. (Salmos 27:14) ",Frases Bíblicas
"Não te deixes vencer pelo mal, mas vence o mal com o bem. (Romanos 12:21) ",Frases Bíblicas
"Quero louvar o Senhor com toda a minha alma, sem esquecer nenhum dos seus benefícios. (Salmo 103:2) ",Frases Bíblicas
"Assim que, se alguém está em Cristo, nova criatura é; as coisas velhas já passaram; eis que tudo se fez novo. (2 Coríntios 5:17) ",Frases Bíblicas
"Ele respondeu: Não temas, porque mais são os que estão conosco do que os que estão com eles. (2 Reis 6:16) ",Frases Bíblicas
"Não vos sobreveio tentação que não fosse humana: mas Deus é fiel e não permitirá que sejais tentados além das vossas forças: pelo contrário, juntamente com a tentação, vos proverá livramento, de sorte que a possais suportar. (I Corintios 10:13) ",Frases Bíblicas
"Eis que Deus não rejeita ao íntegro, nem toma pela mão os malfeitores. (Jó 8:20) ",Frases Bíblicas
"E agora, assim o declara o Senhor, aquele que te criou: Não tenhais medo, porque eu resgatei-te, chamei-te para me servires: e tu pertences-me. (Isaías 43:1) ",Frases Bíblicas
Nisto reconheceis o espírito de Deus: todo espírito que confessa que Jesus Cristo veio na carne é de Deus. (1 João 4:2) ,Frases Bíblicas
"Venham ver as obras de Deus, as maravilhas que ele fez diante dos homens. (Salmos 66:5) ",Frases Bíblicas
O Filho do Homem veio buscar e salvar os que estavam perdidos. (Lucas 19:10) ,Frases Bíblicas
"Feliz o homem que encontrou a sabedoria, o homem que alcançou o entendimento! (Provérbios 3:13) ",Frases Bíblicas
"Deixo-vos a paz, a minha paz vos dou: não vo-la dou como a dá o mundo. Não se turbe o vosso coração, nem se atemorize. (João 14:27) ",Frases Bíblicas
"Bendito seja o Senhor que, dia a dia, leva o nosso fardo! Deus é a nossa salvação. O nosso Deus é o Deus libertador: com Deus, o Senhor, está o escaparmos da morte. (Salmos 68:19-20) ",Frases Bíblicas
"Sabei, porém, que o Senhor distingue para si o piedoso: o Senhor me ouve quando eu clamo por ele. (Salmos 4:3) ",Frases Bíblicas
"Pois tu, Senhor, abençoas o justo e, como escudo, o cercas da tua benevolência. (Salmos 5:12) ",Frases Bíblicas
"Não andeis ansiosos de coisa alguma: em tudo, porém, sejam conhecidas, diante de Deus, as vossas petições, pela oração e pela súplica, com ações de graças. (Filipenses 4:6) ",Frases Bíblicas
"Como pastor, apascentará o seu rebanho: entre os seus braços recolherá os cordeirinhos e os levará no seio: as que amamentam ele guiará mansamente. (Isaias 40:11) ",Frases Bíblicas
"Pois o Senhor ama a justiça e não desampara os seus santos: serão preservados para sempre, mas a descendência dos ímpios será exterminada. (Salmos 37:28) ",Frases Bíblicas
"Sede fortes, e revigore-se o vosso coração, vós todos que esperais no Senhor. (Salmos 31:24) ",Frases Bíblicas
Vede que prova de amor nos deu o Pai: sermos chamados filhos de Deus. E nós o somos! (1 João 3:1) ,Frases Bíblicas
"O Filho do Homem não veio para ser servido, mas para servir e dar a sua vida para resgatar a humanidade. (Mateus 20:28) ",Frases Bíblicas
"Se ando em meio à tribulação, tu me refazes a vida: estendes a mão contra a ira dos meus inimigos: a tua destra me salva. (Salmos 138:7) ",Frases Bíblicas
"Confia os teus cuidados ao Senhor, e ele te susterá: jamais permitirá que o justo seja abalado. (Salmos 55:22) ",Frases Bíblicas
"Não se turbe o vosso coração: credes em Deus, crede também em mim.(João 14:1) ",Frases Bíblicas
"Pois vocês são todos filhos de Deus, pela fé, em união com Jesus Cristo. (Gálatas 3:26) ",Frases Bíblicas
Porque todos os que são guiados pelo Espírito de Deus esses são filhos de Deus. (Romanos 8:14) ,Frases Bíblicas
"E sabemos que todas as coisas contribuem juntamente para o bem daqueles que amam a Deus, daqueles que são chamados segundo o seu propósito. (Romanos 8:28) ",Frases Bíblicas
"Eu é que sei que pensamentos tenho a vosso respeito, diz o SENHOR: pensamentos de paz e não de mal, para vos dar o fim que desejais. (Jeremias 29:11) ",Frases Bíblicas
" Um milhão de palavras não farão com que você volte. Sei, porque tentei. Nem o farão um milhão de lágrimas. Sei porque chorei até não poder mais. ",Frases de Despedida
"Se a distância nos separa, nossos pensamento nos unem. ",Frases de Despedida
"Não se preocupe, aqueles que se amam de verdade nunca se separam, apenas andam juntos por caminhos diferentes. ",Frases de Despedida
A hora do encontro é também despedida. A plataforma desta estação é a vida. (Milton Nascimento e Fernando Brant) ,Frases de Despedida
"Em amor, não há último adeus, senão aquele que não se diz. (Alexandre Dumas) ",Frases de Despedida
"Se fôssemos capazes de saber quando e onde voltaremos a nos encontrar, nossa despedida seria menos dolorosa. ",Frases de Despedida
Talvez a única dor que me dói mais que dizer adeus é a de não ter tido a oportunidade de me despedir de você. ,Frases de Despedida
Em cada despedida existe a imagem da morte. (George Eliot) ,Frases de Despedida
Quem inventou a distância nunca sofreu a dor de uma saudade. (Martha Medeiros) ,Frases de Despedida
"A distância é como os ventos, apaga as velas e acende as grandes fogueiras. (François La Rochefoucauld) ",Frases de Despedida
 Mãe ... tenha distância. ,Frases de Caminhão
Melhor chegar atrasado neste mundo do que adiantado no outro. ,Frases de Caminhão
Economize água. Tome banho com sua namorada. ,Frases de Caminhão
Economize petróleo utilizando o veículo da sogra. ,Frases de Caminhão
Mais vale um furo na conta do que um rombo na poupança. ,Frases de Caminhão
Mais vale um mau dia de pescaria do que um bom dia de trabalho. ,Frases de Caminhão
O amor é um sonho ... o casamento é o despertador. ,Frases de Caminhão
O ausente nunca tem razão. ,Frases de Caminhão
"O beijo é como cigarro: não sustenta, mas vicia. ",Frases de Caminhão
Mais vale um ovo hoje do que uma galinha amanhã. ,Frases de Caminhão
Mais vale um pássaro na mão do que bois voando. ,Frases de Caminhão
É no presente que se escreve o futuro. ,Frases de Caminhão
"É velho, feio, lento, bebe, saiu de linha, mas está pago! ",Frases de Caminhão
"A felicidade não é um destino, mas uma maneira de viajar. ",Frases de Caminhão
O cachorro é o melhor amigo do homem porque não conhece o dinheiro. ,Frases de Caminhão
"O cavalo é do patrão, mas as esporas são minhas. ",Frases de Caminhão
 O mais feliz dos felizes é aquele que faz os outros felizes. (Alexandre Dumas) ,Frases de Felicidade
"Se o ser humano não colocasse tantas condições, a felicidade seria muito mais fácil de se alcançar. (Jufras Menhal) ",Frases de Felicidade
"Pra cada minuto que você fica nervoso, você perde sessenta segundos de felicidade. ",Frases de Felicidade
Felicidade é encontrar a saída e querer ficar. ,Frases de Felicidade
Jamais deixe que a sua felicidade dependa dos outros. Eles não deixariam de ser feliz por você. ,Frases de Felicidade
Ser feliz sem motivo é a mais autêntica forma de felicidade. (Carlos Drummond de Andrade) ,Frases de Felicidade
Só merece a felicidade quem acorda todos os dias disposto a conquistá-la. ,Frases de Felicidade
A simplicidade da felicidade é incompreendida. (Jufras Menhal) ,Frases de Felicidade
O silêncio é o mais perfeito arauto da felicidade. Eu estaria pouco feliz se pudesse dizer o quanto. (William Shakespeare) ,Frases de Felicidade
A sede de felicidade nunca se extingue no coração humano. ,Frases de Felicidade
"A felicidade é difícil de se atingir, pois só a atingimos tornando felizes os outros. (Stuart Clock) ",Frases de Felicidade
Felicidade é a única coisa que podemos dar sem possuir. (Voltaire) ,Frases de Felicidade
A porta da felicidade abre só para o exterior. Quem a força no sentido contrário acaba por fechá-la ainda mais. ,Frases de Felicidade
"A felicidade não depende do que nos falta, mas do bom uso do que temos. (Thomas Hardy) ",Frases de Felicidade
A felicidade depende mais do estado de espírito do que das circunstâncias exteriores. (Orison Swett Marden) ,Frases de Felicidade
"A felicidade não está em viver, mas em saber viver. Não vive mais aquele que mais vive, mas aquele que melhor vive. ",Frases de Felicidade
"A nossa felicidade depende mais do que temos nas nossas cabeças, do que nos nossos bolsos. (Arthur Schopenhauer) ",Frases de Felicidade
"Na plenitude da felicidade, cada dia é uma vida inteira. (Goethe) ",Frases de Felicidade
"A felicidade às vezes é uma benção, mas geralmente é uma conquista. (Paulo Coelho) ",Frases de Felicidade
Para se ser feliz até um certo ponto é preciso ter-se sofrido até esse mesmo ponto. (Edgar Allan Poe) ,Frases de Felicidade
Um momento de felicidade vale mais do que mil anos de celebridade. (Voltaire) ,Frases de Felicidade
Tristeza não tem fim. Felicidade sim. (Tom Jobim) ,Frases de Felicidade
Felicidade é saber aproveitar todos os momentos como se fossem os últimos. ,Frases de Felicidade
A felicidade e a saúde são incompatíveis com a ociosidade. (Aristóteles) ,Frases de Felicidade
"A felicidade, se for pouca, que seja ao menos intensa. ",Frases de Felicidade
A verdadeira felicidade custa pouco; quando é cara não é de boa qualidade. (René de Chateaubriand) ,Frases de Felicidade
A luta ansiosa pela felicidade é o que dá infelicidade a muita gente. (Hermógenes) ,Frases de Felicidade
A felicidade está em usufruir e não apenas em possuir. (Michel de Montaigne) ,Frases de Felicidade
"A felicidade se faz, não se acha. (E. J. Hardy) ",Frases de Felicidade
"Em vão procuramos a verdadeira felicidade fora de nós, se não possuímos a sua fonte dentro de nós. (Marquês de Maricá) ",Frases de Felicidade
O bem que fizemos na véspera é o que nos traz a felicidade pela manhã. (Provérbio) ,Frases de Felicidade
Só há um caminho para a felicidade. Não nos preocuparmos com coisas que ultrapassam o poder da nossa vontade. (Epicuro) ,Frases de Felicidade
A felicidade é um fruto que se colhe da felicidade que se semeia. ,Frases de Felicidade
A felicidade de nossa vida depende da serenidade da nossa consciência. (Oliver Goldsmith) ,Frases de Felicidade
O segredo da felicidade é amar o dever e fazer dele um prazer. (Condessa Dash) ,Frases de Felicidade
Felicidade é um agora que não tem pressa nenhuma. (Adriana Falcão) ,Frases de Felicidade
" Quanto maiores somos em humildade, tanto mais próximos estamos da grandeza. (Rabindranath Tagore) ",Frases de Humildade
"Humildade não é ser pobre, é ser digno. ",Frases de Humildade
A humildade é um princípio que nunca sai de moda. ,Frases de Humildade
"A prepotência te faz forte por um dia, a humildade para sempre. ",Frases de Humildade
"Ser humilde com os superiores é uma obrigação, com os colegas uma cortesia e com os inferiores uma nobreza. ",Frases de Humildade
Só a humildade e a submissão é que fazem o homem de bem. (Michel de Montaigne) ,Frases de Humildade
O humilde e o tímido costumam seguir caminhos seguros. A coragem segue caminhos elevados. (Sêneca) ,Frases de Humildade
Deus protege e liberta o homem humilde. (Tomás de Kempis) ,Frases de Humildade
"Tu que estás lá nas alturas, assim mesmo te interesses pelos humildes. (Salmos) ",Frases de Humildade
A humildade é uma coisa estranha.No momento em que achamos que a temos já a perdemos. ,Frases de Humildade
"O maior líder é aquele que reconhece sua pequenez, extrai força de sua humildade e experiência da sua fragilidade. (Augusto Cury) ",Frases de Humildade
A humildade exprime uma das raras certezas que existem: a de que ninguém é superior a ninguém. (Paulo Freire) ,Frases de Humildade
"Somente se aproxima da perfeição a que se procura com constância, sabedoria e, sobretudo humildade. (Jigoro Kano) ",Frases de Humildade
"Sucede com frequência que os espíritos mais mesquinhos são os mais arrogantes e soberbos, assim como os espíritos mais generosos são os mais modestos e humildes. (René Descartes) ",Frases de Humildade
"O humilde não pode ser apanhado por nenhuma paixão, nem a ira pode molestá-lo, nem mesmo o desejo de glória. (S. Boaventura) ",Frases de Humildade
" Mas se desejarmos fortemente o melhor e, principalmente, lutarmos pelo melhor, o melhor vai se instalar em nossa vida. Porque sou do tamanho daquilo que vejo, e não do tamanho da minha altura. (Carlos Drummond de Andrade) ",Frases Lindas
Sê senhor da tua vontade e escravo da tua consciência. (Aristóteles) ,Frases Lindas
Mais vale uma pequena chama que aqueça do que um grande fogo que queime. ,Frases Lindas
"Nunca feche os olhos para o mundo, pois há pessoas que precisam do seu olhar. ",Frases Lindas
Ser feliz é deixar de ser vítima dos problemas e se tornar um autor da própria história. (Fernando Pessoa) ,Frases Lindas
"Construí amigos, enfrentei derrotas, venci obstáculos. Bati na porta da vida e disse-lhe: Não tenho medo de vivê-la. (Augusto Cury) ",Frases Lindas
"O tempo apaga feridas, mas não um grande amor. A distância separa dois corpos, mas não duas almas. ",Frases Lindas
"Um dia a lágrima disse ao sorriso: ""Invejo-te porque vives sempre feliz."" O sorriso respondeu: ""Engana-te, pois muitas vezes sou apenas o disfarce da tua dor."" ",Frases Lindas
Ser feliz sem motivo é a mais autêntica forma de felicidade. (Carlos Drummond de Andrade) ,Frases Lindas
A felicidade é um bem que se multiplica ao ser dividido. (Marxwell Maltz) ,Frases Lindas
"Os homens fariam maiores coisas, se não julgassem tantas coisas impossíveis. (Lamoignon de Malesherbes) ",Frases Lindas
"A alegria está na luta, na tentativa, no sofrimento envolvido e não na vitoria propriamente dita. (Mahatma Gandhi) ",Frases Lindas
O trabalho é o grande libertador do homem. Só a ociosidade o escraviza. (Fernandes Soares) ,Frases Lindas
"É bom sonhar, mas é melhor sonhar e trabalhar. A fé é poderosa, mas a ação com fé é mais poderosa ainda. ",Frases Lindas
"O êxito na vida não se mede pelo que você conquistou, mas sim pelas dificuldades que superou no caminho. (Abraham Lincoln) ",Frases Lindas
Um dia quando olhares para trás verás que os dias mais belos foram aqueles em que lutaste. (Sigmund Freud) ,Frases Lindas
"Se alguém está tão cansado que não possa te dar um sorriso, deixa-lhe o teu. (Provérbio Chinês) ",Frases Lindas
Gostar do que se faz e sentir que é importante ... existe algo mais divertido? (Katharine Graham) ,Frases Lindas
"Na plenitude da felicidade, cada dia é uma vida inteira. (Johann Goethe) ",Frases Lindas
" Que a estrela principal do Natal, Jesus Cristo, seja uma luz a brilhar sempre na vida daqueles que o buscam. ",Frases de Natal
"Natal é o nascimento de Cristo. Ano Novo é o nascimento de uma nova esperança. Que o seu Natal seja brilhante de alegria, iluminado de amor. Feliz Natal e que o seu Ano Novo seja cheio de esperança. ",Frases de Natal
"Para quem busca Cristo, sempre é natal! Boas Festas. ",Frases de Natal
"O Natal não é um momento nem uma estação, senão um estado da mente. Valorizar a paz e a generosidade e ter graça é compreender o verdadeiro significado de Natal. ",Frases de Natal
Que nesse Natal todas as pessoas possam perceber que vale a pena viver mais um Novo Ano. Um Feliz Natal! ,Frases de Natal
Talvez o melhor enfeite de natal seja um grande sorriso a quem se ama. ,Frases de Natal
Que a paz e a harmonia festejadas no natal estejam presentes em todos os dias do seu ano novo. Feliz Natal e Boas Festas! ,Frases de Natal
"Que Deus, em sua infinita bondade, abençoe e encha de paz todos os corações nessa noite de Natal. Feliz Natal e Boas Festas. ",Frases de Natal
"No Natal comemore e faça isso com bom ânimo, porque o Natal vem apenas uma vez por ano. ",Frases de Natal
Perdão é quando o Natal acontece em outra época do ano. ,Frases de Natal
Bendita seja a data que une a todo mundo numa conspiração de amor. Feliz Natal! ,Frases de Natal
"O Natal não é uma data, é um estado de espírito. ",Frases de Natal
" Se a vida lhe virar as costas, passe a mão na bunda dela. ",Frases Idiotas
"Meu calendário já está chegando na metade, acho que ano que vem vou ter que comprar outro. ",Frases Idiotas
"Por que ""já"" quer dizer agora, e ""já, já"" quer dizer daqui a pouco? ",Frases Idiotas
"O importante não é saber, mas sim ter o telefone de quem sabe. ",Frases Idiotas
"Não existem ideias idiotas, existem ideias na cabeça de idiotas. ",Frases Idiotas
"Não bebo, não fumo e não falo besteira ... mas às vezes minto! ",Frases Idiotas
As últimas palavras de um peixe: Estou frito! ,Frases Idiotas
Como é que a placa 'Proibido pisar na grama' foi colocada lá? ,Frases Idiotas
"O sonho não acabou, ainda temos pão doce, maria-mole e queijadinha. ",Frases Idiotas
"Não roube, o governo não gosta de concorrência. ",Frases Idiotas
"Quando o relógio foi inventado, como sabiam que horas eram? ",Frases Idiotas
"Se o vinho é líquido, como pode ser seco ? ",Frases Idiotas
Como é que a gente sabe que a carne de chester é de chester se nunca ninguém viu um chester? ,Frases Idiotas
Em Portugal os restaurantes fecham para almoço. ,Frases Idiotas
Acabe com os probemas do seu computador ... delete seu Windows! ,Frases Idiotas
Gênio em Portugal inventou a lanterna de luz solar. ,Frases Idiotas
Foram felizes durante 25 anos ... aí se encontraram. ,Frases Idiotas
"Eu achei uma solução, agora só falta descobrir qual é o problema. ",Frases Idiotas
"O trabalho em equipe é ótimo, pois permite que você ponha a culpa em outra pessoa. ",Frases Idiotas
Dúvida ecológica: O Hulk faz fotossíntese? ,Frases Idiotas
"Se tempo fosse dinheiro, meu relógio seria milionário! ",Frases Idiotas
A vida é imprevisível ... coma a sobremesa antes. ,Frases Idiotas
Nunca brinque com fogo ... ele é chato e não sabe brincar! ,Frases Idiotas
Um bom músico sempre tira boas notas. ,Frases Idiotas
"Se o videogame atrapalha os estudos, pare de estudar. ",Frases Idiotas
" Família - como os galhos de uma árvore, todos crescemos em direções diferentes, mas a nossa raiz continua sendo a mesma. ",Frases de Familia
Melhor do que todos os presentes debaixo da árvore de natal é a presença de uma família feliz. ,Frases de Familia
A verdadeira família é aquela unida pelo espírito e não pelo sangue. (Luiz Gasparetto) ,Frases de Familia
"Tenho irmãos, pai, mas não tenho mãe. Quem não tem mãe, não tem família. (Platão) ",Frases de Familia
"No início, os filhos amam os pais. Depois de um certo tempo, passam a julgá-los. Raramente ou quase nunca os perdoam. (Oscar Wilde) ",Frases de Familia
É da familiaridade que nascem as amizades mais ternas e os ódios mais profundos. (Antoine de Rivarol) ,Frases de Familia
No Estado pode haver vários chefes. Na família só pode haver um. (Aristóteles) ,Frases de Familia
O amor da pátria começa na família. (Francis Bacon) ,Frases de Familia
"Todas as famílias felizes se assemelham, mas cada família infeliz é infeliz a seu modo. (Liev Tolstói) ",Frases de Familia
A família é como a varíola: a gente tem quando criança e fica marcado para o resto da vida. (Jean-Paul Sartre) ,Frases de Familia
"Numa família de aventureiros, quase nunca desponta um lírio de inocência. (Paolo Mantegazza) ",Frases de Familia
 A distância entre a amizade e o amor pode ser a distância de um beijo. ,Frases de Beijo
As almas se encontram nos lábios dos enamorados. (Percy Bysshe Shelley) ,Frases de Beijo
"O bom do beijo é que quanto mais você dá, mais você se dá bem! ",Frases de Beijo
O beijo mas gostoso é aquele que foi trocado mil vezes com os olhos antes de chegar a boca. ,Frases de Beijo
O beijo é uma estrofe em que duas bocas rimam. ,Frases de Beijo
Beijo não mata a fome mas abre o apetite. ,Frases de Beijo
"Beijo é igual ferro elétrico, liga em cima e esquenta em baixo. ",Frases de Beijo
O beijo é a menor distância entre dois apaixonados. (Amy Banglin) ,Frases de Beijo
"No amor, o silêncio é a palavra que precede o beijo. (Henrique de Shivas) ",Frases de Beijo
O beijo é um segredo que se diz na boca e não no ouvido. (Jean Rostand) ,Frases de Beijo
O beijo é o toque de duas bocas que se calam para ouvir a voz do coração. ,Frases de Beijo
O beijo é um procedimento inteligentemente desenvolvido para a interrupção mútua da fala quando as palavras tornam-se desnecessárias. ,Frases de Beijo
 Não culpe as pessoas por desapontarem você. Culpe a si mesmo por esperar muito delas. ,Frases de Decepção
"Aquele que muito confia, muito se decepciona. ",Frases de Decepção
"Se você quiser evitar decepções, diminua suas expectativas. ",Frases de Decepção
"As decepções na vida são como lombadas, coisas que se tem que ultrapassar para poder desfrutar do resto da viagem. ",Frases de Decepção
Haverá coisa melhor que a decepção? Não é ela que nos limpa das ilusões investidas nos salvadores? (Renato Janine Ribeiro) ,Frases de Decepção
"A decepção pode ser uma grande oportunidade para recomeçar de uma maneira diferente, deixando pra trás aquilo que não merece sua confiança. ",Frases de Decepção
Nós lemos o mundo errado e dizemos que ele nos decepciona. (Rabindranath Tagore) ,Frases de Decepção
Os homens ainda têm que ser governados pela decepção. (Georg Christoph Lichtenberg) ,Frases de Decepção
"Devemos aceitar a decepção finita, mas nunca perder a esperança infinita. (Martin Luther King) ",Frases de Decepção
A expectativa é proporcional à decepção. ,Frases de Decepção
"Ama o impossível, porque é o único que te não pode decepcionar. (Vergílio Ferreira) ",Frases de Decepção
"Confie 20% em seus companheiros e não será vítima da surpresa, da decepção, da traição e se caso for, será tão esperada, que não afetará seu cotidiano. ",Frases de Decepção
"Abençoado é o homem que nada espera, pois ele nunca se decepcionará. (Alexander Pope) ",Frases de Decepção
A maior decepção é aquela que vem de quem nunca esperamos. (Jair Cunha) ,Frases de Decepção
Decepciona-se menos aquele a quem se nega imediatamente. (Públio Siro) ,Frases de Decepção
Decepção é quando você risca em algo ou em alguém um xis preto ou vermelho. (Adriana Falcão) ,Frases de Decepção
Você só terá sucesso na vida quando perdoar os erros e as decepções do passado. (Clarice Lispector) ,Frases de Decepção
"As vezes é preciso uma decepção, para aprendermos que a vida não é feita apenas de alegria, e sim de tentativas. ",Frases de Decepção
"Da minha decepção só nasce dureza. Do meu Amor só nasce tristeza. Não sei o que quero, mas sei o que não posso ter. ",Frases de Decepção
" Eu evito coisas que me engordam, tipo espelhos, balanças e fotografias. ",Frases de Humor
Fazer uma mulher feliz é muito fácil. Difícil mesmo é juntar dinheiro pra isso. ,Frases de Humor
Derrubei um Yakult no chão. Foi um lactovacilo. ,Frases de Humor
"Ainda bem que inventaram o Facebook, senão eu teria que ligar pra 500 pessoas pra dizer que estou indo dormir. ",Frases de Humor
Chocolate não faz perguntas bobas. Chocolate entende. ,Frases de Humor
Em briga de saci qualquer chute é uma voadora. ,Frases de Humor
Comida gordurosa é romântica: vai direto pro coração. ,Frases de Humor
"Joãozinho, qual é o tempo verbal da frase: 'Isso não podia ter acontecido?' Preservativo imperfeito professora! ",Frases de Humor
O cara era tão magro que o chuveiro dele só tinha um furo! ,Frases de Humor
Mulher Invisível trai o marido durante 10 anos e ele diz que nunca viu nada! ,Frases de Humor
"Meu pai me bateu só porque eu estava usando uma mini-saia. Poxa pai, eu já sou um garoto de 15 anos! ",Frases de Humor
"Consegui compor uma música pra minha namorada, agora só falta arranjar uma namorada! ",Frases de Humor
"Quase morri envenenado, pensei que aquele vidro com um rótulo de caveira fosse bebida de pirata. ",Frases de Humor
Você só é gordo porque sua mãe tomou muita Skol e você desceu redondo! ,Frases de Humor
Lembre-se: nunca dê ouvidos ao Mike Tyson! ,Frases de Humor
Quem atira em Sucrilhos é Cereal Killer! ,Frases de Humor
"Todo dia é a mesma coisa: filho faz isso, filho faz aquilo ... Não vejo a hora de fazer 40 anos e sair daqui de casa. ",Frases de Humor
"Loira 1 - Nossa, como tá escuro aqui né? Loira 2 - Não sei, eu não tô enxergando nada. ",Frases de Humor
Vaticano já inicia processo de canonização daquele que atualmente vem fazendo muitos milagres... o Photoshop! ,Frases de Humor
Diga não à violência! Mas se ela insistir muito... dê uns três tiros nela. ,Frases de Humor
Acho que o Tiririca vai ser um ótimo deputado. Ele já é acostumado com circo mesmo! ,Frases de Humor
Esse ano quero paz no meu coração... finalmente vou comprar meu marcapasso. ,Frases de Humor
Não entendo essas pessoas que só pensam em dinheiro. A fama e o sucesso também são importantes. ,Frases de Humor
Tô passando mais fome que piolho de peruca. ,Frases de Humor
Mamãe! Eu não quero visitar a vovó! Quieto filho ... e continua cavando! ,Frases de Humor
"Desistir é para os fracos. Faça como eu, nem tente. ",Frases de Humor
A vantagem de usar dentadura é poder escovar os dentes e cantar ao mesmo tempo. ,Frases de Humor
 Quem vive de esperanças morre em jejum. (Benjamin Franklin) ,Frases de Esperança
"Não há nada impossível, pois os sonhos de ontem são as esperanças de hoje e podem se converter em realidade no amanhã! ",Frases de Esperança
"Não perca a esperança. Se não fosse pelo último minuto, muitas coisas não teriam acontecido. ",Frases de Esperança
"Aí vai um conselho. Se for pra perder alguma coisa, perca o medo e não a esperança, pois um dia você pode precisar dela. (Jufras Menhal) ",Frases de Esperança
O medo te mantém prisioneiro. A esperança te liberta. (The Shawshank Redemption) ,Frases de Esperança
Os verdadeiros vencedores na vida são pessoas que olham para cada situação com a esperança de poder resolvê-la ou melhorá-la. (Barbara Pletcher) ,Frases de Esperança
"Enquanto houver vontade de lutar, haverá esperança de vencer. (Santo Agostinho) ",Frases de Esperança
Esperança é o sentimento de que você terá sucesso amanhã naquilo que você fracassou hoje. ,Frases de Esperança
"A esperança não é um sonho, mas uma maneira de traduzir os sonhos em realidade. (Cardeal Suenens) ",Frases de Esperança
O sonho e a esperança são dois calmantes que a natureza concede ao ser humano. (Frederico I) ,Frases de Esperança
Os miseráveis não têm outro remédio a não ser a esperança. (William Shakespeare) ,Frases de Esperança
Julgamos a sabedoria de um homem por sua esperança. (Ralph Waldo Emerson) ,Frases de Esperança
A esperança é o sonho do homem acordado. (Aristóteles) ,Frases de Esperança
" Pessoal , se vocês gostaram das frases do nosso site, ajudem ele a crescer no Twitter. Sigam a gente => ",Frases para Twitter
 Geralmente aqueles que sabem pouco falam muito e aqueles que sabem muito falam pouco. (Jean Jacques Rousseau) ,Frases para Twitter
"Pessoas perfeitas não mentem, não brigam, não erram e, principalmente, não existem. ",Frases para Twitter
"Ninguém é tão feio como na identidade, bonito como no Orkut, feliz como no Facebook, simpático como no Twitter e ocupado como no MSN. #fato ",Frases para Twitter
